,"Casamentos, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Só civis (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Masculino, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Feminino, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, Total, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por divórcio, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por morte, Católicos (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, M (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, M (N.º)"
Penedono,15,15,9,6,0,0,20,3,17,0,0,0,19,9,10
Peso da Régua,70,70,47,23,0,0,124,25,99,5,3,2,100,47,53
Sabrosa,11,11,5,6,0,0,47,11,36,4,2,2,37,16,21
Santa Marta de Penaguião,18,18,9,9,0,0,58,10,48,3,2,1,69,44,25
São João da Pesqueira,8,8,5,3,0,0,46,5,41,12,6,6,86,40,46
Sernancelhe,19,19,9,10,0,0,39,9,30,13,9,4,62,39,23
Tabuaço,15,15,5,10,0,0,33,5,28,11,7,4,45,24,21
Tarouca,15,15,6,9,0,0,61,21,40,7,2,5,65,30,35
Torre de Moncorvo,10,10,10,0,0,0,57,6,51,7,3,4,82,30,52
Vila Nova de Foz Côa,15,15,9,6,0,0,68,10,58,10,7,3,185,98,87
Vila Real,147,146,65,80,0,1,313,107,206,216,118,98,1041,505,536
Terras de Trás-os-Montes,228,227,148,79,0,1,855,125,730,1034,498,536,3540,1629,1911
Alfândega da Fé,5,5,4,1,0,0,58,7,51,16,12,4,164,86,78
Bragança,82,81,54,27,0,1,205,32,173,747,364,383,2059,944,1115
Macedo de Cavaleiros,31,31,18,13,0,0,129,27,102,46,24,22,254,121,133
Miranda do Douro,8,8,6,2,0,0,50,1,49,21,4,17,109,44,65
Mirandela,52,52,36,16,0,0,167,28,139,145,59,86,537,236,301
Mogadouro,20,20,13,7,0,0,81,13,68,19,12,7,92,45,47
Vila Flor,9,9,3,6,0,0,62,11,51,6,3,3,199,97,102
Vimioso,9,9,7,2,0,0,31,2,29,25,14,11,74,36,38
Vinhais,12,12,7,5,0,0,72,4,68,9,6,3,52,20,32
Centro,6064,6002,4044,1938,30,32,16185,3513,12672,16106,8367,7739,94751,48041,46710
Oeste,1217,1197,891,300,9,11,2496,550,1946,3908,2129,1779,23487,12313,11174
Alcobaça,156,153,101,51,1,2,415,91,324,474,249,225,2814,1463,1351
