,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Beiras e Serra da Estrela,33.5,-0.14,-1.13,0.99,5.8,17.1,1.1,1.4,30.8,7.1,1.14,35.6,57.2,14
Almeida,11.2,-0.76,-2.31,1.55,3.1,26.2,0.3,1.2,17.5,x,x,33.2,55.6,0
Belmonte,53.7,-0.23,-1.24,1,4.7,17.1,0.6,0.8,24.5,x,x,36.8,56.7,0
Celorico da Beira,28,0.09,-1.11,1.2,6.1,17.2,2.5,2.2,31.5,x,x,36.6,45.2,0
Covilhã,84.2,-0.03,-0.77,0.74,6,13.7,1,1.5,32.2,x,x,35.7,65.7,14.3
Figueira de Castelo Rodrigo,11,0.05,-1.24,1.29,6.4,18.8,1.4,1.8,35.3,x,x,35.2,66.7,0
Fornos de Algodres,34.5,0.24,-1.19,1.43,7.5,19.4,0.9,1.3,33.8,x,x,41.2,47.1,0
Fundão,37.8,-0.12,-1.03,0.91,6.5,16.8,1.1,1.4,34.8,x,x,35.5,57.3,14.3
Gouveia,41.1,-0.22,-1.6,1.38,4.6,20.6,1.3,0.9,25.8,x,x,32.9,59.6,12.5
Guarda,54.8,0.08,-0.66,0.74,7.3,13.9,1.6,1.8,35.9,x,x,38.6,53.5,19.7
Manteigas,24.5,-0.7,-1.4,0.7,6.3,20.4,1.3,0.3,34.4,x,x,34.8,21.1,0
Mêda,16,-0.26,-1.64,1.38,4.1,20.5,1.1,1.3,26.1,x,x,31,63.2,20
Pinhel,17.4,-0.94,-1.74,0.79,4.2,21.6,0.5,0.9,23.4,x,x,34.3,38.9,0
Sabugal,12.8,-0.57,-2.46,1.89,4.5,29.2,0.2,0.9,29.5,x,x,29.7,70.8,0
Seia,50.9,-0.3,-1.26,0.95,4.7,17.3,1.4,1.5,25.8,x,x,34.8,57.1,15.6
Trancoso,24.6,0.26,-1.05,1.31,4.6,15.1,0.8,1.1,24.1,x,x,36.6,46.3,42.9
A. M. Lisboa,951.5,0.2,-0.11,0.31,9.8,10.9,1.9,1.6,44.4,8.3,1.68,41.4,62,7.5
