,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Benavente,1241,1241,0,725,710,0,0,1036,985,0,0,51
Cartaxo,817,817,0,476,469,0,0,748,678,0,0,40
Chamusca,278,278,0,164,164,0,0,210,182,0,0,0
Coruche,552,548,0,305,293,0,0,529,469,0,0,39
Golegã,157,157,0,98,98,0,0,162,162,0,0,0
Rio Maior,781,781,0,450,450,0,0,649,602,0,0,0
Salvaterra de Magos,730,730,0,442,442,0,0,686,601,0,0,64
Santarém,2227,2227,0,1238,1238,0,0,1983,1923,0,0,60
Alto Alentejo,3689,3688,0,2023,1991,0,0,3247,2971,0,0,186
Alter do Chão,94,94,0,44,44,0,0,135,94,0,0,41
Arronches,85,85,0,44,40,0,0,76,69,0,0,0
Avis,108,108,0,78,77,0,0,84,84,0,0,0
Campo Maior,374,374,0,212,203,0,0,291,261,0,0,0
Castelo de Vide,92,92,0,35,35,0,0,77,77,0,0,0
Crato,87,87,0,44,44,0,0,75,75,0,0,0
Elvas,967,967,0,503,498,0,0,724,662,0,0,48
Fronteira,83,83,0,59,59,0,0,86,86,0,0,0
Gavião,84,84,0,59,59,0,0,106,89,0,0,17
Marvão,67,67,0,33,33,0,0,70,70,0,0,0
Monforte,131,131,0,51,48,0,0,105,89,0,0,0
Nisa,122,122,0,75,75,0,0,118,100,0,0,18
Ponte de Sor,505,504,0,272,268,0,0,428,399,0,0,20
Portalegre,751,751,0,439,433,0,0,725,688,0,0,23
Sousel,139,139,0,75,75,0,0,147,128,0,0,19
Alentejo Central,5483,5476,0,2965,2893,0,0,4782,4482,0,0,195
Alandroal,149,149,0,70,70,0,0,103,103,0,0,0
Arraiolos,170,170,0,112,112,0,0,161,131,0,0,30
Borba,209,209,0,120,120,0,0,154,154,0,0,0
Estremoz,427,427,0,182,176,0,0,383,371,0,0,0
Évora,2197,2192,0,1166,1132,0,0,1908,1800,0,0,75
Montemor-o-Novo,497,497,0,265,265,0,0,457,415,0,0,26
Mora,104,104,0,68,68,0,0,103,103,0,0,0
Mourão,95,95,0,60,57,0,0,60,49,0,0,0
Portel,182,182,0,105,105,0,0,123,112,0,0,11
Redondo,218,218,0,106,106,0,0,158,143,0,0,15
Reguengos de Monsaraz,380,378,0,241,212,0,0,399,348,0,0,18
Vendas Novas,417,417,0,227,227,0,0,388,388,0,0,0
Viana do Alentejo,188,188,0,105,105,0,0,176,176,0,0,0
Vila Viçosa,250,250,0,138,138,0,0,209,189,0,0,20
