,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Águeda,1089.15,811.61,912.37,968.39,983.07,1049.09,824.52,1429.85,1565.73,1479.3,2769.61
Albergaria-a-Velha,1139.9,771.35,954.1,1034.26,1017.98,1089.58,1012.17,1702.32,1645.85,1623.89,1933.47
Anadia,1035.36,895.06,891.97,946.38,911.6,1009.96,719.23,1528.88,1463.71,1293.81,1765.74
Aveiro,1286.05,819.33,967.97,1063.74,1022.04,1122.53,942.46,1845.9,1767.16,1733.13,2619.65
Estarreja,1296.95,972.41,995.36,1077.96,1207.51,1265.04,1240.02,1345.65,1903.63,1883.92,2993.07
Ílhavo,1178.98,767.58,950.97,1016.38,1008.25,1083.53,953.15,1690.41,1649.39,1728.35,1930.67
Murtosa,941.09,732.1,822.93,872.49,841.37,965.81,//,1379.31,1349.58,1228.9,…
Oliveira do Bairro,1094.59,808.86,992.31,943.29,1014.72,1047.35,…,1641.64,1489.5,1327.13,…
Ovar,1114.5,811.08,889.28,950.33,960.29,1048.38,1128.02,2098.71,1722.07,1615.86,1986.43
Sever do Vouga,1123.91,…,944.42,1063.28,1059.24,1067.69,…,1645.31,1460.06,1802.22,//
Vagos,1046.78,827.52,830.59,885.58,905.95,996.91,…,1582.84,1514.63,1435.59,2075.68
Região de Coimbra,1119.46,785.65,879.8,949.1,972.37,1040,1031.7,1467.33,1538.63,1649.1,2431.33
Arganil,893,690,794.34,854.3,834.53,879.96,…,1193.04,1301.49,1134.6,//
Cantanhede,1109.54,775.46,872.19,955.91,990.65,1063.55,758.19,1650.48,1491.9,1552.93,2665.73
Coimbra,1214.19,783.33,869.18,950.12,976.97,1050.69,960.14,1476.88,1584.85,1763.95,2431.12
Condeixa-a-Nova,1016.53,731.24,871.88,973.16,955.66,949.93,…,1474.43,1242.56,1617.75,//
Figueira da Foz,1202.71,807.63,923.12,995.79,1085.31,1149.58,1318.74,1557.41,1753.99,1729.04,2359.37
Góis,844.6,…,807.88,798.48,815.61,792.53,//,1182.67,1135.69,1285.24,//
Lousã,1017.17,716.91,846.67,873.27,898.09,967.19,…,1192.91,1449.05,1358.5,…
Mealhada,1170.5,997.44,987.31,1137,1128.19,1112.72,779.5,1658.56,1477.61,1299.3,…
Mira,965.81,811.11,998.09,865.63,860.53,930.46,…,1331.04,1309.1,1374.43,1149.02
Miranda do Corvo,921.72,845.82,833.3,829.99,826.26,933.65,…,1117.49,1231.9,1190.58,//
Montemor-o-Velho,1011.15,895.21,843.33,924.7,937.26,1019.81,…,1136.37,1356.16,1418.38,//
Mortágua,1072.69,769.64,870.84,920.74,881.95,1046.98,1704.43,1495.43,1419.17,1333.62,2354.81
Oliveira do Hospital,949.47,766,846.95,845.16,856.01,952.26,1001.32,1468.54,1301.93,1394.71,2375.97
