,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Viseu Dão Lafões,51031,28765,22266,1060,669,391,20871,14738,6133,29100,13358,15742
Aguiar da Beira,841,418,423,43,37,6,237,174,63,561,207,354
Carregal do Sal,1748,927,821,58,44,14,1066,674,392,624,209,415
Castro Daire,1767,1029,738,45,33,12,417,346,71,1305,650,655
Mangualde,4688,3180,1508,43,30,13,1976,1386,590,2669,1764,905
Nelas,2829,1589,1240,44,27,17,1772,1175,597,1013,387,626
Oliveira de Frades,2960,1863,1097,140,65,75,2079,1489,590,741,309,432
Penalva do Castelo,958,565,393,12,9,3,351,315,36,595,241,354
Santa Comba Dão,1347,686,661,30,19,11,473,334,139,844,333,511
São Pedro do Sul,1914,916,998,97,48,49,593,431,162,1224,437,787
Sátão,1497,823,674,60,35,25,706,492,214,731,296,435
Tondela,5797,3065,2732,216,118,98,3476,2074,1402,2105,873,1232
Vila Nova de Paiva,501,250,251,30,17,13,137,115,22,334,118,216
Viseu,22662,12807,9855,205,163,42,6662,5324,1338,15795,7320,8475
Vouzela,1522,647,875,37,24,13,926,409,517,559,214,345
Beira Baixa,13609,7246,6363,539,425,114,4146,3006,1140,8924,3815,5109
Castelo Branco,9987,5123,4864,211,172,39,2909,1987,922,6867,2964,3903
Idanha-a-Nova,822,428,394,192,154,38,117,87,30,513,187,326
Oleiros,605,383,222,27,…,…,273,…,…,305,120,185
Penamacor,374,209,165,52,…,…,111,…,…,211,102,109
Proença-a-Nova,987,577,410,37,27,10,373,314,59,577,236,341
Vila Velha de Ródão,834,526,308,20,…,…,363,…,…,451,206,245
Médio Tejo,41467,22345,19122,1255,840,415,13809,10700,3109,26403,10805,15598
Abrantes,5417,2929,2488,150,114,36,2071,1669,402,3196,1146,2050
Alcanena,3540,1969,1571,9,…,…,1524,…,…,2007,969,1038
Constância,883,529,354,46,32,14,580,421,159,257,76,181
Entroncamento,2911,1711,1200,23,19,4,430,363,67,2458,1329,1129
Ferreira do Zêzere,1566,867,699,398,262,136,473,389,84,695,216,479
Mação,961,517,444,47,44,3,411,341,70,503,132,371
Ourém,10516,5736,4780,113,73,40,3814,3059,755,6589,2604,3985
Sardoal,270,116,154,16,12,4,62,59,3,192,45,147
Sertã,2401,1274,1127,131,116,15,791,587,204,1479,571,908
Tomar,5382,2666,2716,226,93,133,1308,1070,238,3848,1503,2345
Torres Novas,6596,3632,2964,68,48,20,2136,1602,534,4392,1982,2410
Vila de Rei,534,180,354,20,14,6,102,83,19,412,83,329
Vila Nova da Barquinha,490,219,271,8,…,…,107,…,…,375,149,226
Beiras e Serra da Estrela,34214,17685,16529,1067,808,259,10194,6920,3274,22953,9957,12996
Almeida,792,350,442,30,25,5,74,61,13,688,264,424
Belmonte,867,409,458,47,33,14,339,165,174,481,211,270
Celorico da Beira,894,417,477,15,…,…,249,…,…,630,318,312
Covilhã,7126,3714,3412,103,81,22,2399,1583,816,4624,2050,2574
Figueira de Castelo Rodrigo,616,260,356,84,66,18,84,70,14,448,124,324
Fornos de Algodres,568,273,295,24,16,8,166,102,64,378,155,223
Fundão,4744,2700,2044,245,177,68,1658,992,666,2841,1531,1310
Gouveia,1477,623,854,82,51,31,300,202,98,1095,370,725
Guarda,9022,5017,4005,185,155,30,2564,2011,553,6273,2851,3422
Manteigas,455,218,237,16,…,…,109,…,…,330,121,209
