,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Lajes do Pico,143,143,0,91,91,0,0,125,117,0,0,8
Madalena,252,252,0,103,103,0,0,180,180,0,0,0
São Roque do Pico,128,128,0,51,51,0,0,93,86,0,0,7
Faial,586,573,0,275,265,0,0,482,402,0,0,13
Horta,586,573,0,275,265,0,0,482,402,0,0,13
Flores,132,132,0,67,67,0,0,107,98,0,0,9
Lajes das Flores,41,41,0,25,25,0,0,0,0,0,0,0
Santa Cruz das Flores,91,91,0,42,42,0,0,107,98,0,0,9
Corvo,19,19,0,9,9,0,0,12,12,0,0,0
Corvo,19,19,0,9,9,0,0,12,12,0,0,0
R. A. Madeira,9240,9240,0,5292,5280,0,0,9017,8489,0,0,347
Calheta (R.A.M.),376,376,0,209,209,0,0,369,352,0,0,10
Câmara de Lobos,1038,1038,0,612,600,0,0,993,904,0,0,35
Funchal,4710,4710,0,2561,2561,0,0,4380,4182,0,0,144
Machico,665,665,0,417,417,0,0,665,605,0,0,50
Ponta do Sol,334,334,0,163,163,0,0,345,319,0,0,26
Porto Moniz,69,69,0,43,43,0,0,67,67,0,0,0
Ribeira Brava,449,449,0,267,267,0,0,532,510,0,0,22
Santa Cruz,1111,1111,0,739,739,0,0,1174,1070,0,0,60
Santana,164,164,0,83,83,0,0,161,161,0,0,0
São Vicente,144,144,0,87,87,0,0,160,148,0,0,0
Porto Santo,180,180,0,111,111,0,0,171,171,0,0,0
