,"%, Gini coefficient, Gross reported income, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income, Taxable person","%, Gini coefficient, Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Taxable person"
Faial,29.2,3,6.5,26.4,2.8,5.8
Horta,29.2,3,6.5,26.4,2.8,5.8
Flores,28.5,3.1,6.7,26.2,3,6.2
Lajes das Flores,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
R. A. Madeira,29.9,3.4,7.2,26.3,3.1,6.3
Calheta (R.A.M.),30.7,3.5,9.8,28.1,3.4,8.8
Câmara de Lobos,25.2,2.7,5.7,23.1,2.6,5.3
Funchal,31.2,3.7,7.6,27.2,3.3,6.3
Machico,25.7,2.9,6.1,23.3,2.7,5.4
Ponta do Sol,29.2,3.3,8.4,26.7,3.1,7.5
Porto Moniz,//,//,//,//,//,//
Ribeira Brava,26.6,3.1,7,24.3,2.9,6.2
Santa Cruz,27.2,3.2,6.3,24.1,2.9,5.5
Santana,26.2,2.8,6.4,24.2,2.7,5.8
São Vicente,28.6,3.1,7.7,25.8,2.9,6.8
Porto Santo,28.4,3.2,6.3,24.6,2.8,5.3
